fid,id,boron,calcium,clay,copper,fineSand,humus,potassium,magnesium,phosphorus,rt,sand,totalN,zinc,silt,jb,coarseSand,altitude,sulfur,iron,manganese,molybdenum,sodium,ph,fiSoil,NDRE0517_b1_count,NDRE0517_b1_mean,NDRE0517_b1_stdev,NDVI_b1_count,NDVI_b1_mean,NDVI_b1_stdev,T_2021,T_2022,PLOT_ID,n,distance,feature_x,feature_y,nearest_x,nearest_y
"1468",,4.756953,0,13.896942,1.852353,40.536861,2.830411,13.327246,5.74735,2.267325,6.404953,74.544746,0,0,8.727899,"6",34.007885,23.616318,,,,,,5.904953,"0",15954,0.401229643524328,0.0295755465727939,15954,0.760939101333291,0.0580500885576375,Mineral,OG2,8-c,"1",0,12.2911265621859,55.6731140327793,12.2911265621859,55.6731140327793
"1469",,4.268042,0,14.212566,1.751006,42.308464,2.347212,16.711388,6.043283,3.005966,6.295103,73.454033,0,0,9.986192,"6",31.145567,24.68059,,,,,,5.795103,"0",15953,0.630230386709409,0.0331612135115926,15952,0.924429275491532,0.0251888761081229,Control,Mineral,9-a,"1",0,12.2911517419366,55.6735550536874,12.2911517419366,55.6735550536874
"1476",,4.898717,0,13.891833,1.881739,40.508186,2.97052,12.691027,5.78572,2.255369,6.425605,74.562401,0,0,8.575244,"6",34.054218,23.652008,,,,,,5.925605,"0",15953,0.379053998881206,0.0319394759394799,15953,0.735744767386525,0.0672448498300575,Mineral,Control,8-d,"1",0,12.2911352501809,55.6729883775071,12.2911352501809,55.6729883775071
"1477",,4.486688,0,14.138234,1.796329,41.891235,2.563303,15.820404,6.018642,2.83201,6.324024,73.710907,0,0,9.587559,"6",31.819668,24.302917,,,,,,5.824024,"0",15955,0.604553853335406,0.0341266129186909,15954,0.919566416450501,0.02501977363834,OG2,OG2_residual,9-b,"1",0,12.2911604299943,55.6734293984216,12.2911604299943,55.6734293984216
"1478",,4.887021,0,13.88194,1.879315,40.452652,2.958961,12.580267,5.802977,2.232215,6.4292,74.596596,0,0,8.562506,"6",34.143944,23.666616,,,,,,5.9292,"0",15951,0.356881488776231,0.0320857192677789,15951,0.706390726131732,0.0650981285388266,Mineral,Control,8-d,"1",0,12.2911374221689,55.6729569636885,12.2911374221689,55.6729569636885
"1479",,4.467199,0,14.090944,1.792289,41.625797,2.544042,15.553188,5.993592,2.72134,6.332698,73.874321,0,0,9.490689,"6",32.248528,24.232985,,,,,,5.832698,"0",15955,0.620479140487893,0.0283406429199355,15955,0.928656683155677,0.0194697802073356,OG2,OG2_residual,9-b,"1",0,12.2911626019979,55.6733979846046,12.2911626019979,55.6733979846046
"1480",,4.874391,0,13.869318,1.876697,40.381805,2.946478,12.466627,5.811098,2.202677,6.432889,74.640213,0,0,8.543993,"6",34.258404,23.686047,,,,,,5.932889,"0",15954,0.334815179945249,0.0261476452934711,15954,0.677830442756329,0.0625422063503297,Mineral,Control,8-d,"1",0,12.2911395941526,55.6729255498697,12.2911395941526,55.6729255498697
"1481",,4.459646,0,14.049896,1.790723,41.395393,2.536577,15.289246,5.959625,2.625276,6.341266,74.016182,0,0,9.397348,"6",32.620785,24.158852,,,,,,5.841266,"0",15954,0.581651016402935,0.0296999398618517,15954,0.904781442037035,0.0256338827215703,OG2,OG2_residual,9-b,"1",0,12.2911647739973,55.6733665707874,12.2911647739973,55.6733665707874
"1483",,4.492733,0,14.015341,1.797582,41.201435,2.569278,14.996917,5.925892,2.544409,6.350755,74.13559,0,0,9.27979,"6",32.934155,24.083923,,,,,,5.850755,"0",15952,0.583882771587464,0.0369970117326367,15952,0.906243239655538,0.0289285550050382,OG2,OG2_residual,9-b,"1",0,12.2911669459924,55.67333515697,12.2911669459924,55.67333515697
"1484",,4.867929,0,13.864084,1.875357,40.352425,2.940092,12.418501,5.823631,2.190428,6.434451,74.658295,0,0,8.537525,"6",34.30587,23.714542,,,,,,5.934451,"0",15956,0.339897998385215,0.0319078257349354,15957,0.680530175408856,0.0693747113714108,Mineral,Control,8-d,"1",0,12.291141766132,55.6728941360506,12.291141766132,55.6728941360506
"1491",,4.201821,0,14.2185,1.737279,42.341774,2.281764,16.66358,6.00723,3.019854,6.296655,73.433525,0,0,10.066213,"6",31.091749,25.15926,,,,,,5.796655,"0",15954,0.628516692191389,0.0279948826612235,15954,0.92195775568433,0.0223632308579643,Control,Mineral,9-a,"1",0,12.2911986422664,55.6736819364129,12.2911986422664,55.6736819364129
"1492",,4.682055,0,13.924453,1.836827,40.691277,2.756388,13.939098,5.851721,2.331705,6.385092,74.449684,0,0,8.869479,"6",33.758408,23.779112,,,,,,5.885092,"0",15954,0.496949318934162,0.0305502758127681,15954,0.852198911558286,0.0399183089971641,Mineral,OG2,9-c,"1",0,12.2911756339298,55.6732095016981,12.2911756339298,55.6732095016981
"1493",,4.203392,0,14.222234,1.737604,42.362728,2.283317,16.709667,6.0066,3.028591,6.295159,73.420624,0,0,10.073829,"6",31.057894,25.081137,,,,,,5.795159,"0",15954,0.626256286427313,0.0293375193369139,15954,0.921655043879293,0.024124023932898,Control,Mineral,9-a,"1",0,12.29120081426,55.6736505225962,12.29120081426,55.6736505225962
"1494",,4.68502,0,13.892089,1.837442,40.509617,2.759319,13.659461,5.841118,2.255966,6.394169,74.561523,0,0,8.787071,"6",34.051903,23.711048,,,,,,5.894169,"0",15952,0.459626519303384,0.0430330988490917,15952,0.815951443259551,0.0630959662964183,Mineral,OG2,9-c,"1",0,12.2911778059035,55.6731780878796,12.2911778059035,55.6731780878796
"1495",,4.192647,0,14.233718,1.735377,42.427189,2.272698,16.827894,6.012922,3.055467,6.291321,73.380936,0,0,10.112649,"6",30.953747,24.975826,,,,,,5.791321,"0",15959,0.61923864405588,0.0286735554377746,15959,0.918435095134732,0.0252696530927709,Control,Mineral,9-a,"1",0,12.2912029862493,55.6736191087793,12.2912029862493,55.6736191087793
"1496",,4.691817,0,13.865841,1.838851,40.362289,2.766036,13.394541,5.817174,2.19454,6.402768,74.652229,0,0,8.715897,"6",34.289936,23.660866,,,,,,5.902768,"0",15953,0.443763091490499,0.0349872909889237,15953,0.798455604066641,0.0551945703645601,Mineral,OG2,9-c,"1",0,12.2911799778728,55.6731466740608,12.2911799778728,55.6731466740608
"1497",,4.189145,0,14.231029,1.734651,42.412094,2.269236,16.825724,6.006548,3.049174,6.291391,73.390228,0,0,10.109508,"6",30.978134,24.842176,,,,,,5.791391,"0",15957,0.620044097204424,0.0256119669910387,15957,0.922530875839804,0.0219317608730023,Control,Mineral,9-a,"1",0,12.2912051582343,55.6735876949622,12.2912051582343,55.6735876949622
"1498",,4.709179,0,13.850422,1.84245,40.275742,2.783196,13.178255,5.788785,2.158455,6.409789,74.705513,0,0,8.660871,"6",34.429771,23.63242,,,,,,5.909789,"0",15959,0.417535852230733,0.032931278785379,15959,0.785506514101162,0.0575718931887687,Mineral,OG2,9-c,"1",0,12.291188006669,55.6731156651815,12.291188006669,55.6731156651815
"1499",,4.236142,0,14.225903,1.744393,42.383324,2.315684,16.702623,5.995342,3.037178,6.295387,73.407944,0,0,10.050472,"6",31.024616,24.722178,,,,,,5.795387,"0",15955,0.637384190280323,0.0307257615931084,15956,0.928634025543129,0.0232280650598094,Control,Mineral,9-a,"1",0,12.291207330215,55.6735562811449,12.291207330215,55.6735562811449
"1505",,4.433627,0,14.185476,1.78533,42.156406,2.510862,16.097195,5.953292,2.942569,6.31504,73.547646,0,0,9.756016,"6",31.391239,24.411949,,,,,,5.81504,"0",15958,0.603728715506379,0.0277928739221517,15958,0.917247794814121,0.0225051637019192,OG2,OG2_residual,9-b,"1",0,12.2912138461313,55.6734620396916,12.2912138461313,55.6734620396916
"1506",,4.849783,0,13.847467,1.871596,40.259159,2.922158,12.568426,5.824852,2.151541,6.429584,74.715721,0,0,8.514654,"6",34.456562,23.671301,,,,,,5.929584,"0",15957,0.386483863195008,0.030378751397173,15957,0.740689094035094,0.0664120707952725,Mineral,Control,8-d,"1",0,12.291190837655,55.6729896049639,12.291190837655,55.6729896049639
"1506",,4.849783,0,13.847467,1.871596,40.259159,2.922158,12.568426,5.824852,2.151541,6.429584,74.715721,0,0,8.514654,"6",34.456562,23.671301,,,,,,5.929584,"0",15957,0.386483863195008,0.030378751397173,15957,0.740689094035094,0.0664120707952725,Mineral,Control,9-d,"2",0,12.2912396313677,55.6729929785205,12.2912396313677,55.6729929785205
"1507",,4.453233,0,14.136604,1.789394,41.882088,2.53024,15.761685,5.944396,2.828195,6.325931,73.716537,0,0,9.61662,"6",31.83445,24.337793,,,,,,5.825931,"0",15955,0.607418700300837,0.0309053216254191,15956,0.922342484212215,0.0238712778126962,OG2,OG2_residual,9-b,"1",0,12.2912160180949,55.6734306258734,12.2912160180949,55.6734306258734
"1508",,4.840415,0,13.837641,1.869654,40.203999,2.912899,12.454197,5.839366,2.128544,6.433292,74.74968,0,0,8.499781,"6",34.545677,23.683857,,,,,,5.933292,"0",15953,0.37221348108109,0.0274552333807418,15953,0.732660713755792,0.0597204933867484,Mineral,Control,8-d,"1",0,12.2911930095986,55.6729581911439,12.2911930095986,55.6729581911439
"1509",,4.441104,0,14.082907,1.78688,41.580681,2.518252,15.468783,5.930577,2.70253,6.335438,73.9021,0,0,9.49674,"6",32.321419,24.264711,,,,,,5.835438,"0",15956,0.597696843710451,0.0292014611521185,15957,0.914795773149007,0.024547752284782,OG2,OG2_residual,9-b,"1",0,12.2912181900541,55.6733992120549,12.2912181900541,55.6733992120549
"1510",,4.830629,0,13.824659,1.867625,40.131134,2.903227,12.338845,5.848408,2.098164,6.437037,74.79454,0,0,8.477573,"6",34.663403,23.703852,,,,,,5.937037,"0",15955,0.337338130376399,0.0297917305457881,15955,0.67755598074887,0.0667641600016639,Mineral,Control,8-d,"1",0,12.2911951815379,55.6729267773236,12.2911951815379,55.6729267773236
"1512",,4.436247,0,14.035557,1.785873,41.314907,2.513452,15.195782,5.911642,2.591718,6.3443,74.065727,0,0,9.38526,"6",32.750824,24.186914,,,,,,5.8443,"0",15956,0.577963156988445,0.0294604235062672,15956,0.903462537725667,0.026838520064513,OG2,OG2_residual,9-b,"1",0,12.291220362009,55.6733677982363,12.291220362009,55.6733677982363
"1514",,4.462707,0,13.994434,1.791358,41.084087,2.539603,14.903622,5.891433,2.495481,6.353783,74.20784,0,0,9.258123,"6",33.123753,24.110687,,,,,,5.853783,"0",15959,0.594595285251226,0.0399663613529767,15959,0.912415596180015,0.0286092957757534,OG2,OG2_residual,9-b,"1",0,12.2912225339597,55.6733363844174,12.2912225339597,55.6733363844174
"1515",,4.827986,0,13.819018,1.867077,40.099468,2.900615,12.28301,5.859815,2.084961,6.438849,74.814034,0,0,8.466331,"6",34.714565,23.733706,,,,,,5.938849,"0",15953,0.354534853361643,0.0337832128033756,15953,0.707290447119567,0.0722763947983831,Mineral,Control,8-d,"1",0,12.2911973534728,55.6728953635031,12.2911973534728,55.6728953635031
"1520",,4.633497,0,13.926495,1.826761,40.70274,2.708397,14.114099,5.837963,2.336486,6.379411,74.442619,0,0,8.922486,"6",33.73988,23.871899,,,,,,5.879411,"0",15955,0.468720648304417,0.0298117772903274,15955,0.82680303534532,0.0457844456308652,Mineral,OG2,9-c,"1",0,12.2912290497859,55.6732421429596,12.2912290497859,55.6732421429596
"1522",,4.210773,0,14.242453,1.739134,42.476219,2.290611,16.668299,5.958379,3.075909,6.296502,73.350746,0,0,10.116187,"6",30.874531,25.218168,,,,,,5.796502,"0",15957,0.644458286515108,0.0334107245206079,15957,0.930919414464712,0.0222811309584612,Control,Mineral,10-a,"1",0,12.2912726071166,55.6736844343826,12.2912726071166,55.6736844343826
"1523",,4.661636,0,13.901686,1.832594,40.563484,2.736208,13.872583,5.845554,2.278426,6.387251,74.528358,0,0,8.83375,"6",33.96487,23.796267,,,,,,5.887251,"0",15962,0.475035170374874,0.0307520060906721,15961,0.832815586926831,0.044724111131919,Mineral,OG2,9-c,"1",0,12.2912312217194,55.6732107291398,12.2912312217194,55.6732107291398
"1524",,4.21381,0,14.246049,1.739764,42.496407,2.293613,16.709442,5.957083,3.084326,6.295166,73.338318,0,0,10.122018,"6",30.841913,25.141178,,,,,,5.795166,"0",15953,0.642196455655976,0.0303946294735924,15952,0.927682386836413,0.0235834791273008,Control,Mineral,9-a,"1",0,12.2912665282195,55.673620886119,12.2912665282195,55.673620886119
"1524",,4.21381,0,14.246049,1.739764,42.496407,2.293613,16.709442,5.957083,3.084326,6.295166,73.338318,0,0,10.122018,"6",30.841913,25.141178,,,,,,5.795166,"0",15953,0.642196455655976,0.0303946294735924,15952,0.927682386836413,0.0235834791273008,Control,Mineral,10-a,"2",0,12.2912854412208,55.673653757735,12.2912854412208,55.673653757735
