"PLOT_ID","Block_a","Block_b","boron","calcium","clay","copper","fineSand","humus","potassium","magnesium","phosphorus","rt","sand","totalN","zinc","silt","jb","coarseSand","altitude","ph","fiSoil","total_area","NDVI_cum","NDRE_cum","timestamp","NDVI_mean","Treatment_2021","Treatment_2022","Treatment","NDRE_mean"
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-03-31,0.284306251,"ECO","ECO","ECO",0.206819476
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-04-07,0.326193515,"ECO","ECO","ECO",0.203166765
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-04-14,0.42594181,"ECO","ECO","ECO",0.199724381
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-04-21,0.260651438,"ECO","ECO","ECO",0.213845477
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-04-28,0.360343132,"ECO","ECO","ECO",0.232454579
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-05-05,0.421900793,"ECO","ECO","ECO",0.308021833
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-05-12,0.469584533,"ECO","ECO","ECO",0.378596462
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-05-19,0.561457405,"ECO","ECO","ECO",0.449171091
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-05-26,0.744721019,"ECO","ECO","ECO",0.518907453
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-06-02,0.814192145,"ECO","ECO","ECO",0.55861376
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-06-09,0.819310041,"ECO","ECO","ECO",0.564850318
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-06-16,0.791470535,"ECO","ECO","ECO",0.555629872
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-06-23,0.72079218,"ECO","ECO","ECO",0.503114088
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-06-30,0.640674209,"ECO","ECO","ECO",0.42818271
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-07-07,0.543070872,"ECO","ECO","ECO",0.362744006
"10a-5","2a","1b",1.8602173584734,0,5.91092337429966,0.830983828972448,42.3341013001502,1.77220109052446,10.7530312257263,2.63206832819269,3.30641891327326,5.83074214910761,87.6492186517934,0,0,4.66765645715647,4,45.3151185247069,25.4467474406515,5.33074214910761,0,69.252,78.148783769,54.665275784,2021-07-14,0.486638224,"ECO","ECO","ECO",0.352923666
