PLOT_ID,T_2021,T_2022,date,count,mean,std,cv
6-a,Kontrol 2021,Mineral N 2022,20220412,450113,0.572727431279576,0.0967847316781277,0.16898916725866128
6-a,Kontrol 2021,Mineral N 2022,20220517,459644,0.908331946759547,0.0291888270596843,0.032134537559550515
6-a,Kontrol 2021,Mineral N 2022,20220529,459745,0.934970139606409,0.0180186435816671,0.01927189202989129
6-a,Kontrol 2021,Mineral N 2022,20220624,468175,0.853624330308552,0.0288825543561434,0.03383520517240117
3-a,Kontrol 2021,Mineral N 2022,20220412,450114,0.608082638433724,0.0937509060356667,0.15417461395896237
3-a,Kontrol 2021,Mineral N 2022,20220517,459641,0.918547901374053,0.0239026408310261,0.026022203953947547
3-a,Kontrol 2021,Mineral N 2022,20220529,459744,0.941991316064494,0.0154347399228497,0.01638522527716482
3-a,Kontrol 2021,Mineral N 2022,20220624,468182,0.866286668421897,0.0257676912821636,0.029744993454769726
4-a,Kontrol 2021,Mineral N 2022,20220412,450111,0.591438839521386,0.0980538293996389,0.1657886206441695
4-a,Kontrol 2021,Mineral N 2022,20220517,459640,0.913161161402925,0.0265920860315847,0.029120912228385015
4-a,Kontrol 2021,Mineral N 2022,20220529,459747,0.939552183625461,0.0164106065357343,0.017466413065435598
4-a,Kontrol 2021,Mineral N 2022,20220624,468180,0.859879862070033,0.0282926164446783,0.03290298760639426
5-a,Kontrol 2021,Mineral N 2022,20220412,450113,0.593911119267775,0.0932225436497766,0.1569637958028289
5-a,Kontrol 2021,Mineral N 2022,20220517,459641,0.913565125710736,0.0254399684175601,0.027846912827115964
5-a,Kontrol 2021,Mineral N 2022,20220529,459744,0.939528808768328,0.0161502014748894,0.017189682023759815
5-a,Kontrol 2021,Mineral N 2022,20220624,468178,0.859756001380855,0.0266941134015738,0.03104847579859909
7-a,Kontrol 2021,Mineral N 2022,20220412,450113,0.641700266159653,0.0885145004451858,0.13793745322082143
7-a,Kontrol 2021,Mineral N 2022,20220517,459642,0.924973579056209,0.0220236586344301,0.023810040776409854
7-a,Kontrol 2021,Mineral N 2022,20220529,459745,0.944417390694988,0.0147698212636122,0.015639082262921086
7-a,Kontrol 2021,Mineral N 2022,20220624,468178,0.873154735475074,0.024050446248939,0.027544311760335827
8-a,Kontrol 2021,Mineral N 2022,20220412,450114,0.655754578104214,0.0869139657327804,0.13254038726507805
8-a,Kontrol 2021,Mineral N 2022,20220517,459642,0.928956456350108,0.0208330374308092,0.02242627982011417
