"Treatment_2021","Treatment_2022","PLOT_ID","YEAR","Block_a","Block_b","Treatment order","Order original","unique id","country","plot_number","Anthesis 23-06-2021 Biomass dryweight (kg/ha)","Harvest 06-08-2021 harvestable (grain) yield 15 % moisture (kg/ha)","16-11-2021 Biomass dryweight (kg/ha)","Anthesis 31-05-2022 Biomass dryweight (kg/ha)","Harvest 11-08-2022 harvestable (grain) yield 15 % moisture (kg/ha)","Field sheet order"
"CON","MIN","10-a",NA,"Kontrol 2021","Mineral N 2022",1,57,17,"denmark","25-17",NA,4604.615712,NA,NA,11383.77727,NA
"CON","MIN","9-a",NA,"Kontrol 2021","Mineral N 2022",2,8,15,"denmark","25-15",NA,4280.367631,NA,NA,10518.92612,NA
"CON","MIN","8-a",NA,"Kontrol 2021","Mineral N 2022",3,106,14,"denmark","25-14",NA,4459.982765,NA,NA,11156.05453,NA
"CON","MIN","7-a",NA,"Kontrol 2021","Mineral N 2022",4,45,13,"denmark","25-13",NA,4346.6321,NA,NA,10103.7397,NA
"CON","MIN","6-a",NA,"Kontrol 2021","Mineral N 2022",5,128,1,"denmark","25-1",NA,4137.499066,NA,NA,10509.72365,NA
"CON","MIN","5-a",NA,"Kontrol 2021","Mineral N 2022",6,74,12,"denmark","25-12",NA,4587.078373,NA,NA,10244.04599,NA
"CON","MIN","4-a",NA,"Kontrol 2021","Mineral N 2022",7,50,11,"denmark","25-11",NA,4009.933558,NA,NA,11132.41006,NA
"CON","MIN","3-a",NA,"Kontrol 2021","Mineral N 2022",8,135,10,"denmark","25-10",NA,4174.386598,NA,NA,11835.51937,NA
"CON","MIN","2-a",NA,"Kontrol 2021","Mineral N 2022",9,67,18,"denmark","25-18",NA,4012.32921,NA,NA,11234.54926,NA
"CON","MIN","1-a",NA,"Kontrol 2021","Mineral N 2022",10,131,16,"denmark","25-16",NA,5200.964024,NA,NA,11418.0187,NA
"OG2","OG2_residual","10-b",NA,"OG2 2021","OG2 andet 2022",11,4,21,"denmark","25-21",NA,8122.512038,NA,NA,9187.544554,NA
"OG2","OG2_residual","9-b",NA,"OG2 2021","OG2 andet 2022",12,35,20,"denmark","25-20",NA,7724.132449,NA,NA,9193.827287,NA
"OG2","OG2_residual","8-b",NA,"OG2 2021","OG2 andet 2022",13,51,23,"denmark","25-23",NA,7636.255256,NA,NA,9002.623073,NA
"OG2","OG2_residual","7-b",NA,"OG2 2021","OG2 andet 2022",14,59,19,"denmark","25-19",NA,7889.513578,NA,NA,9316.834389,NA
"OG2","OG2_residual","6-b",NA,"OG2 2021","OG2 andet 2022",15,84,24,"denmark","25-24",NA,7354.3675,NA,NA,8451.314343,NA
"OG2","OG2_residual","5-b",NA,"OG2 2021","OG2 andet 2022",16,137,27,"denmark","25-27",NA,7329.965338,NA,NA,7716.64548,NA
"OG2","OG2_residual","4-b",NA,"OG2 2021","OG2 andet 2022",17,96,2,"denmark","25-2",NA,7151.656096,NA,NA,9289.111851,NA
"OG2","OG2_residual","3-b",NA,"OG2 2021","OG2 andet 2022",18,85,26,"denmark","25-26",NA,7527.964107,NA,NA,9442.204736,NA
