"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220529,72319,0.518713693167596,0.0611088438845429,0.117808426284977,"mineral"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220624,76140,0.411614668897703,0.055724529913811,0.135380330499494,"mineral"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220412,74140,0.263079994246524,0.0310902949426335,0.118178104084569,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220517,75994,0.375486677676305,0.0373384452691405,0.0994401332697315,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220529,72319,0.327292504653463,0.0349936078428753,0.10691845167651,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220624,76139,0.254673868090904,0.0339068070629138,0.133138147690956,"bbf"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220412,74140,0.208071028779251,0.0316398627585167,0.15206279770974,"mineral"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220517,76001,0.479610889271501,0.0731562805151168,0.152532567861911,"mineral"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220529,72318,0.424221866004034,0.0713286668121165,0.168140005332583,"mineral"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220624,76138,0.29554503852954,0.0483479307576894,0.163589045508057,"mineral"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220412,74144,0.200110575690585,0.0307705863353108,0.153767916708655,"bbf"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220517,75998,0.340677302122993,0.040373428467328,0.118509299609142,"bbf"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220529,72317,0.325039401854216,0.033101265606571,0.101837701576307,"bbf"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220624,76139,0.290596681293343,0.0349016602999019,0.12010343732959,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220412,74138,0.207395890244605,0.0364381966654363,0.175693918632914,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220517,75994,0.377730534602829,0.0519040433928062,0.137410239940972,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220529,72318,0.377799694961806,0.0420750467258335,0.111368662513312,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220624,76140,0.35076929533109,0.0464209414329202,0.13234037884959,"bbf"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220412,74139,0.190953010176021,0.0381313392116403,0.199689647083807,"mineral"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220517,75997,0.485881875137364,0.0733194453051561,0.150899733159274,"mineral"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220529,72318,0.449751012034475,0.0658041423783472,0.146312383113222,"mineral"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220624,76140,0.318254593339983,0.0517505917959914,0.162607525166833,"mineral"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220412,74141,0.201431060592519,0.0301626596735793,0.149741850064505,"bbf"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220517,75995,0.321094224903605,0.0388097511323634,0.120867172693668,"bbf"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220529,72318,0.281114277010489,0.0314153939480321,0.111753107249191,"bbf"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220624,76138,0.237708092979202,0.0319887280109306,0.134571472136329,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220412,74138,0.218106170186996,0.0285826781510036,0.131049378962997,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220517,75998,0.391314464096824,0.0418782728838331,0.107019486183549,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220529,72316,0.349765559006755,0.0395446419739203,0.113060422776379,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220624,76139,0.25892739988992,0.0334121523638544,0.129040620568002,"bbf"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220412,74140,0.243253411367005,0.0318363371647938,0.130877248487016,"mineral"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220517,75998,0.578515982314701,0.0537486929276787,0.0929078790747055,"mineral"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220529,72318,0.607507016547582,0.047021919330648,0.0774014423699501,"mineral"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220624,76141,0.523796835373106,0.0573260826892882,0.109443354403725,"mineral"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220412,74139,0.209493611413676,0.0308896794230039,0.147449266899159,"bbf"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220517,75994,0.339850120598772,0.0373640839590264,0.109942829778008,"bbf"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220529,72318,0.296142626139715,0.0335377979392419,0.113248803039314,"bbf"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220624,76137,0.242336352312953,0.0320004853943034,0.132049876499659,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220412,74142,0.19347219147866,0.0267897132837763,0.138468030361517,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220517,76002,0.495166978013208,0.0470212465405654,0.0949603843318307,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220529,72318,0.482321273447609,0.0490116698535418,0.101616230823096,"bbf"
"5g-10","7a","7b",10,"PCW","PCW",2022,20220624,76140,0.345751562461918,0.0519672789754674,0.150302369150367,"bbf"
"11g-13","8a","7b",13,"REF_3","REF_3",2022,20220412,74141,0.19763828465051,0.0386149503045206,0.195381934086327,"mineral"
