"PLOT_ID","timestamp","Block_a","Block_b","NDVI","NDRE","Treatment_2021","Treatment_2022","delta_time","clay","boron","calcium","copper","fineSand","humus","potassium","magnesium","phosphorus","rt","sand","totalN","zinc","silt","jb","coarseSand","altitude","ph","fiSoil"
"10-a",2021-03-31,"Kontrol 2021","Mineral N 2022",0.250072711280414,0.183115728199482,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-04-07,"Kontrol 2021","Mineral N 2022",0.305501068733176,0.18975832490694,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-04-14,"Kontrol 2021","Mineral N 2022",0.445915129355022,0.196401352683703,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-04-21,"Kontrol 2021","Mineral N 2022",0.24763898111525,0.190552576666786,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-04-28,"Kontrol 2021","Mineral N 2022",0.342192940695697,0.214499017181701,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-05-05,"Kontrol 2021","Mineral N 2022",0.357895246323417,0.268162630890545,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-05-12,"Kontrol 2021","Mineral N 2022",0.343773843172718,0.305199537622301,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-05-19,"Kontrol 2021","Mineral N 2022",0.418345770625735,0.354685453506639,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-05-26,"Kontrol 2021","Mineral N 2022",0.678632394833998,0.478162316339357,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-06-02,"Kontrol 2021","Mineral N 2022",0.758829972573689,0.525329315946216,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-06-09,"Kontrol 2021","Mineral N 2022",0.795000699588231,0.540374042811217,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-06-16,"Kontrol 2021","Mineral N 2022",0.80565228675093,0.568524934627392,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-06-23,"Kontrol 2021","Mineral N 2022",0.795870432147273,0.593117531802919,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
"10-a",2021-06-30,"Kontrol 2021","Mineral N 2022",0.770659993385061,0.544252482874323,"CON","MIN",7,14.2129632572026,4.21012071434289,0,1.7389989718271,42.3106934785391,2.28996684730431,16.3426081213373,5.89258823190334,3.00689590451688,6.3070734949498,73.4526569754212,0,0,10.044412796703,6,31.1419637196208,25.1992219264319,5.8070734949498,0
