"PLOT_ID","Block_a","Block_b","Treatment_ID","Treatment_2021","Treatment_2022","year_estab","date","count","mean","std","cv","fertiliser_type"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220529,72319,0.834929350961829,0.0633158548770044,0.075833787378615,"mineral"
"7h-14","7a","8b",14,"REF_4","REF_4",2022,20220624,76140,0.719700904557296,0.0687451082307998,0.0955189965657837,"mineral"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220412,74140,0.556948567910202,0.0791937344442363,0.142192186149951,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220517,75994,0.715505108972579,0.0695039075057899,0.0971396383257042,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220529,72319,0.654660816246216,0.066340007957183,0.101334929952846,"bbf"
"9h-9","8a","8b",9,"BVC","BVC",2022,20220624,76139,0.485648676188812,0.057711527736649,0.118833903120147,"bbf"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220412,74140,0.459001925540121,0.0917997225061849,0.199998556429064,"mineral"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220517,76001,0.809888561138725,0.0830383808706291,0.10253062563802,"mineral"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220529,72318,0.770864936498491,0.0886721227002121,0.1150293890691,"mineral"
"6h-12","7a","8b",12,"REF_2","REF_2",2022,20220624,76138,0.579375568904438,0.0859761305476166,0.148394470119256,"mineral"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220412,74143,0.42102318399738,0.0888346706491011,0.210997099508073,"bbf"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220517,75998,0.647406432699704,0.0915210725550148,0.141365713920032,"bbf"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220529,72317,0.66271069161615,0.0698215255193369,0.105357475596272,"bbf"
"10h-6","8a","8b",6,"OG2","OG2",2022,20220624,76139,0.621370263900375,0.0664336263567646,0.106914717707534,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220412,74138,0.446872189171883,0.106881350496358,0.239176554473941,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220517,75994,0.690893030820446,0.106327866608862,0.153899173773104,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220529,72318,0.728313006738629,0.0751294959921844,0.103155504978021,"bbf"
"12g-5","8a","7b",5,"ECO","ECO",2022,20220624,76140,0.696946459270022,0.0669804077275178,0.09610552838976,"bbf"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220412,74139,0.409768044965863,0.110262783776761,0.269085852670495,"mineral"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220517,75997,0.793456965293288,0.102964157649896,0.129766530705086,"mineral"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220529,72318,0.786343156546746,0.0846409602029225,0.107638706458166,"mineral"
"10g-12","8a","7b",12,"REF_2","REF_2",2022,20220624,76140,0.621908694926071,0.083012710426125,0.133480543210596,"mineral"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220412,74141,0.449638123145094,0.0952563298187033,0.211851097394526,"bbf"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220517,75995,0.632442494670579,0.0873043947881658,0.138043214242965,"bbf"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220529,72318,0.606677152239718,0.072847720077373,0.12007658407513,"bbf"
"2g-4","7a","7b",4,"MO13","MO13",2022,20220624,76138,0.553367157199146,0.0622737033330821,0.112535958310715,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220412,74138,0.479203594999308,0.0868518073071433,0.181241977759513,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220517,75998,0.724385194995111,0.0778618331330644,0.107486781440349,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220529,72316,0.695716774048162,0.0721441587155704,0.103697598515249,"bbf"
"9g-7","8a","7b",7,"BIO","BIO",2022,20220624,76139,0.546356435864528,0.0669438077167356,0.122527718760752,"bbf"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220412,74139,0.548727381857935,0.0869084754966828,0.158381882096752,"mineral"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220517,75998,0.884885589892812,0.047448845116606,0.0536214462734709,"mineral"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220529,72318,0.899578714002144,0.0335090200495417,0.0372496809094816,"mineral"
"13g-14","8a","7b",14,"REF_4","REF_4",2022,20220624,76141,0.820619882744187,0.0489572931127732,0.0596589165608052,"mineral"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220412,74139,0.465760888251951,0.0933851510206638,0.200500199514708,"bbf"
"7g-6","7a","7b",6,"OG2","OG2",2022,20220517,75994,0.677278102175635,0.0746348567894854,0.110198242863211,"bbf"
